TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
1,4,2,48000,1,40
1,2,0,17364,1,39
3,2,0,92554,1,37
1,3,2,4544,1,43
1,5,3,12202,1,39
1,4,0,44611,1,44
3,4,1,32100,1,39
1,3,0,60108,1,36
3,2,0,16320,1,39
1,3,4,3792,1,39
1,5,2,54120,1,40
1,4,0,34132,1,39
3,4,2,30050,1,39
1,2,3,96926,1,39
1,2,0,45580,1,43
1,2,2,20420,1,39
1,4,4,33500,1,39
1,2,0,11713,1,39
1,2,1,24027,1,39
1,4,1,30670,1,40
1,2,0,20798,2,39
1,4,2,20250,2,41
1,4,3,56900,2,36
1,3,0,101369,2,39
1,2,0,71260,2,36
1,3,1,20800,2,39
1,3,0,48050,2,39
1,2,3,16894,2,43
3,5,0,91910,2,40
1,5,2,38777,2,40
1,2,0,33006,2,40
1,2,0,53451,2,39
1,2,3,168700,2,39
2,4,1,4538,2,35
1,3,2,43000,2,39
1,5,3,39230,2,39
1,2,0,29120,2,39
2,4,3,33406,2,43
2,2,0,17792,2,39
1,4,1,9700,2,40
1,2,0,17962,2,36
3,4,2,65100,2,39
1,2,1,45040,2,34
3,2,0,8498,2,39
1,6,0,15600,2,45
3,2,3,29852,2,39
1,5,2,18070,2,40
3,3,3,42919,2,36
2,3,0,11064,2,34
3,3,3,20658,2,39
1,2,2,32000,2,43
1,2,0,31300,2,39
1,3,1,37502,2,34
1,2,0,26007,2,36
1,3,3,38100,2,43
1,2,2,12000,2,39
1,2,1,3840,2,42
1,2,2,23016,2,43
1,2,0,8250,2,43
1,4,1,47100,2,33
1,2,4,33622,2,44
1,4,0,15408,2,39
1,5,0,63360,2,40
1,2,1,27581,2,40
1,6,2,26820,2,41
1,2,3,62889,2,39
3,2,2,31975,2,35
1,3,0,97294,2,39
1,4,0,0,2,39
1,2,1,36603,2,36
3,2,2,33730,2,35
2,2,0,23637,2,43
1,5,2,44520,2,41
1,3,2,63480,2,39
1,3,2,20200,2,39
3,4,0,39070,2,40
3,2,2,108850,2,36
1,3,0,13426,2,38
3,3,8,0,2,41
1,5,0,74000,2,39
1,2,1,13000,2,40
1,2,2,45010,2,39
3,2,0,29556,2,43
1,3,0,42443,2,39
3,2,0,77002,2,39
1,5,0,66860,2,39
1,2,1,27841,2,39
1,4,0,23660,2,44
1,2,0,35300,2,36
1,4,1,80400,2,41
1,5,2,50225,2,39
3,2,2,21550,2,40
3,2,2,102199,2,39
2,2,5,44100,2,39
1,4,1,59650,2,39
1,3,0,55565,2,43
1,2,0,26440,2,40
1,7,1,47300,2,45
1,3,0,11002,2,39
3,4,1,16000,2,41
1,4,2,132499,2,43
1,3,0,29026,2,43
1,2,0,152159,2,43
1,2,2,38497,2,40
1,4,0,37462,2,44
1,2,2,37175,2,39
1,2,0,34100,2,39
1,2,0,27930,2,39
1,4,0,19981,2,36
1,4,2,29700,2,39
1,2,1,93016,2,39
1,4,1,25114,2,39
1,5,0,23952,2,39
1,2,0,12330,2,40
1,3,2,3044,2,39
1,2,0,10935,2,39
1,3,0,4000,2,41
1,2,0,40969,2,39
3,2,0,85684,2,35
1,5,3,45326,2,37
1,4,0,37890,2,39
1,2,4,42010,2,40
1,2,0,77000,2,39
1,4,0,25600,2,41
3,5,1,25800,2,43
3,3,0,3036,2,40
1,2,2,26000,2,35
1,2,0,26185,2,39
1,2,0,34546,2,39
1,2,1,137629,2,40
1,2,0,24836,2,45
1,3,6,89169,2,39
1,5,0,32473,2,43
1,3,0,8601,2,46
3,4,1,72118,2,39
1,6,0,56000,2,40
3,3,0,54428,2,34
1,2,0,171999,2,39
1,4,2,56196,2,40
3,2,0,6564,2,40
1,2,1,7450,2,40
1,2,0,31900,2,43
1,2,1,12000,2,43
1,3,1,111300,2,39
1,5,1,3562,2,36
1,3,1,14218,2,39
1,3,3,15400,2,43
1,2,0,29000,2,39
1,2,3,87720,2,34
1,2,2,53325,3,36
1,3,0,135370,3,40
1,5,0,63840,3,43
1,3,0,36000,3,35
1,6,1,25510,3,44
1,2,1,34000,3,43
1,4,0,26006,3,39
3,4,1,10000,3,43
1,2,0,64200,3,40
1,2,0,10476,3,40
2,2,2,9630,3,34
1,4,0,27836,3,39
1,5,1,81270,3,40
1,2,2,50122,3,39
1,4,1,200,3,40
3,5,0,73000,3,39
1,2,0,44095,3,40
1,2,2,76680,3,41
3,2,1,13138,3,32
1,4,1,90066,3,44
1,2,1,27236,3,39
1,4,0,33115,3,40
3,3,2,5832,3,33
1,2,3,45474,3,40
1,2,0,8260,3,39
1,2,0,8000,3,40
3,2,1,640,3,44
1,3,0,1900,3,39
1,4,0,9000,3,31
1,3,0,9014,3,39
1,2,0,5950,3,41
1,4,0,50048,3,32
1,5,0,55750,3,36
1,3,0,22360,3,34
1,5,3,39500,3,40
3,7,1,69300,3,39
1,3,2,8010,3,39
1,2,0,59700,3,43
1,4,0,33000,3,39
1,3,1,31626,3,37
1,4,0,26473,3,43
1,3,0,34958,3,43
1,2,0,30000,3,34
1,3,0,21860,3,39
1,3,0,12644,3,39
1,3,1,15476,3,36
3,4,0,8810,3,43
1,3,1,74555,3,42
1,3,0,19000,3,42
1,2,0,51700,3,40
3,2,0,93000,3,41
1,2,3,37916,3,43
3,2,4,30045,3,43
1,4,0,32500,3,33
2,2,0,16800,3,34
1,3,1,25387,3,43
1,2,1,13232,3,39
1,3,2,51500,3,41
1,2,1,46101,3,42
1,4,2,33340,3,42
1,2,2,21120,3,40
3,2,0,116242,3,39
1,3,2,55333,3,39
1,2,1,39827,3,40
3,2,0,31200,3,43
3,2,2,31431,3,34
1,2,1,31353,3,45
1,4,1,20159,3,39
3,3,1,18117,3,39
1,4,0,34021,3,42
1,2,0,50400,3,40
1,3,1,9869,3,39
3,6,1,61000,3,39
1,2,1,18327,3,43
3,2,0,9520,3,39
1,2,1,41945,3,34
1,2,0,31808,3,39
2,2,1,43748,3,37
1,3,1,22489,3,40
1,5,0,0,3,35
3,2,2,33380,3,43
1,2,1,20574,3,35
1,2,2,21280,3,36
1,2,0,15942,3,41
1,2,0,15264,3,39
1,4,4,22547,3,36
3,2,0,45030,3,39
1,2,1,48500,3,32
1,3,2,41983,3,37
3,2,2,44500,3,40
1,2,1,5106,3,39
3,3,0,8177,3,44
1,2,0,27100,3,37
1,4,0,57000,3,39
1,2,1,52310,3,41
3,3,0,1152,3,40
1,4,2,41010,3,43
3,2,1,52820,3,39
3,2,0,37656,3,39
1,3,0,14135,3,39
3,4,1,7000,3,33
3,2,0,6964,3,40
1,3,0,73001,3,39
1,2,1,30294,3,44
1,2,1,5052,3,42
1,3,2,26900,3,34
1,2,0,95000,3,34
2,3,0,39507,3,39
3,4,0,27455,3,40
1,2,3,43921,3,39
3,4,2,34124,3,41
1,2,1,1900,3,40
3,2,1,57026,3,43
1,4,0,11382,3,39
1,3,1,56000,3,37
1,3,0,6408,3,33
1,3,0,10490,3,33
1,2,1,84500,3,33
1,3,1,24560,3,36
1,5,1,18300,3,43
3,2,0,13725,3,43
2,2,4,84700,3,34
1,2,0,62795,3,35
1,3,1,28240,3,43
1,5,0,32400,3,33
1,2,0,14650,3,39
3,2,0,8682,3,44
3,5,1,12000,3,40
1,6,4,45880,3,39
1,2,3,0,3,44
1,3,2,42208,3,40
1,7,0,52530,3,39
1,3,3,64970,3,39
1,3,0,36000,3,35
1,2,1,49212,3,36
1,4,0,3246,3,39
1,2,0,37500,4,33
1,2,1,30695,4,41
1,3,7,29500,4,36
1,3,1,35100,4,40
3,3,2,16800,4,39
1,2,1,52203,4,44
1,2,0,0,4,40
1,2,0,41136,4,40
1,2,1,11300,4,39
1,2,1,78100,4,40
1,6,0,15900,4,39
1,4,0,11223,4,39
1,3,5,5640,4,46
1,3,0,26563,4,39
1,4,1,80606,4,37
1,4,1,19269,4,39
1,2,2,27180,4,43
3,4,0,8550,4,44
3,2,2,17568,4,43
1,2,0,97300,4,39
1,2,0,38151,4,40
1,2,1,48500,4,40
1,3,2,28496,4,44
1,2,0,33000,4,39
1,3,1,11600,4,36
1,3,0,42000,4,40
1,2,0,44599,4,41
1,4,3,9500,4,40
1,3,2,98650,4,39
2,3,0,101799,4,40
1,3,2,11820,4,39
1,2,2,8884,4,39
1,2,2,15286,4,40
1,5,1,48480,4,42
1,2,0,11164,4,39
1,2,0,10392,4,39
1,2,3,22035,4,39
1,2,2,31058,4,41
3,5,1,19012,4,43
1,2,1,25834,4,32
1,8,0,67223,4,37
1,6,1,83400,4,39
1,2,5,78544,4,39
1,3,3,73400,4,39
1,3,2,26800,4,39
1,3,0,40032,4,44
3,4,0,14001,4,40
1,3,0,19108,4,40
2,3,2,55025,4,35
1,2,0,93910,4,40
1,4,2,81010,4,44
1,2,0,32795,4,42
1,7,3,124686,4,40
1,2,2,48523,4,39
2,3,4,75000,4,43
1,3,0,3120,4,33
1,2,0,19100,4,44
1,3,0,64420,4,43
1,4,0,27560,4,39
1,5,0,15230,4,40
3,2,2,7223,4,44
1,2,1,19537,4,45
1,8,0,24600,4,43
1,2,2,42445,4,40
1,3,0,103200,4,43
2,4,3,15000,4,33
1,5,0,77991,4,43
1,4,5,53600,4,35
1,2,0,20440,4,43
1,2,2,39300,4,39
3,2,0,33000,4,39
1,3,2,8100,4,32
1,4,0,115073,4,35
1,3,3,23456,4,39
1,3,0,39002,4,33
1,3,3,20560,4,39
1,3,0,14320,4,39
1,3,0,53000,4,38
2,3,0,35040,4,35
3,3,0,60681,4,37
1,2,2,3250,4,43
1,2,2,72426,4,40
3,4,6,77646,4,39
1,4,0,24148,4,40
2,2,0,21200,4,34
1,2,1,44858,4,43
3,2,1,48791,4,39
1,2,0,35000,4,37
3,6,1,10379,4,39
1,5,4,14385,4,40
1,3,0,0,4,36
1,6,2,7000,4,36
1,3,1,21250,4,38
3,3,0,43900,4,36
3,6,3,12500,4,44
3,3,1,12383,4,33
1,3,1,88150,4,45
3,2,0,40040,4,46
2,5,0,21280,4,39
1,6,0,65060,4,33
1,2,0,45060,4,40
1,3,2,2300,4,39
1,5,2,15000,4,41
2,4,4,16960,4,40
2,2,1,40000,4,39
1,2,3,24000,4,39
3,2,1,1000,4,39
1,4,1,18240,4,39
1,3,2,4710,4,39
1,3,0,49500,4,39
1,3,1,15300,4,40
1,2,0,3012,4,39
1,6,0,13000,4,44
1,3,3,74887,4,43
3,2,0,54903,4,43
3,2,3,4423,4,41
1,5,1,35075,4,37
