TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
1,4,1,47200,2,39
1,4,0,6552,2,43
1,4,1,21769,2,34
1,4,0,53625,2,39
3,3,1,30201,2,36
1,2,0,34000,2,37
1,4,4,93016,2,34
1,3,1,38861,2,40
1,2,0,80984,2,41
3,5,0,12700,2,34
3,5,2,43460,2,43
1,3,1,18624,2,41
1,3,2,451887,2,39
1,2,1,9030,2,34
3,4,0,40434,2,43
1,3,0,28210,2,40
1,4,2,39300,2,39
1,4,2,34160,2,43
1,4,0,50100,2,45
1,2,0,47305,2,42
1,5,2,25524,2,39
3,4,0,91500,2,40
1,2,0,34876,2,39
1,3,0,60300,2,39
3,2,0,21900,2,43
1,2,1,43050,2,40
1,2,0,18912,2,39
1,3,0,126559,2,39
3,2,1,3744,2,40
1,2,0,76728,2,43
1,2,0,77174,2,39
1,2,1,49187,2,43
1,3,0,52000,2,45
2,4,1,75000,2,34
1,2,0,46000,2,40
1,2,0,58600,2,42
1,3,2,61800,2,39
1,4,3,25459,2,42
1,2,1,50366,3,44
2,4,2,20500,3,40
1,2,0,60983,3,40
1,3,2,16600,3,39
1,4,3,23994,3,44
3,4,2,28210,3,40
1,3,3,24960,3,39
1,2,0,30267,3,39
1,6,0,63100,3,39
1,4,0,11879,3,35
1,4,1,12097,3,39
1,2,0,24910,3,40
1,5,1,18561,3,34
1,5,2,119400,3,39
3,4,0,29719,3,37
1,2,2,23300,3,39
3,4,0,28000,3,44
1,3,2,21548,3,39
1,4,2,36000,3,43
3,2,1,54060,3,34
3,5,1,25723,3,34
1,4,0,8662,3,34
3,4,0,40801,3,40
2,2,2,1,3,41
1,4,0,38446,3,37
1,2,0,-4198,3,39
1,2,3,36250,3,39
1,2,0,78223,3,39
1,2,0,21000,3,40
3,2,0,34788,3,43
1,2,2,43373,3,40
1,2,0,18800,3,39
1,2,0,4200,3,40
1,4,3,51000,3,37
3,3,3,8120,3,39
1,4,0,32197,3,41
1,2,0,13920,3,41
1,3,1,19980,3,39
1,4,0,16002,3,34
1,2,3,125215,3,40
1,2,0,48500,3,39
1,2,0,0,3,39
3,2,2,67100,3,41
1,4,3,4500,3,43
1,2,2,33050,3,32
1,3,1,35000,3,35
1,3,2,110076,3,36
3,2,1,48018,3,39
1,2,3,59400,3,43
1,2,0,10637,3,43
1,4,0,74505,3,40
1,4,0,14804,3,39
1,3,3,99480,3,46
1,2,0,1500,3,39
3,5,3,53324,3,43
1,4,0,3636,3,39
1,2,0,36201,3,39
3,2,3,0,3,43
1,3,0,24156,3,44
1,2,0,24272,3,39
1,3,0,61849,3,45
1,2,0,61126,3,40
1,4,2,23100,3,39
1,3,0,31235,3,37
3,3,0,50946,3,41
1,4,0,29560,3,43
1,2,0,29840,3,40
1,7,3,33000,3,34
1,2,2,8424,3,45
3,3,0,27000,3,38
1,3,1,26000,3,34
3,3,1,25572,3,37
1,2,4,10235,3,33
1,2,1,47226,3,44
1,4,1,43900,3,37
3,4,0,50500,3,39
3,2,0,22400,3,39
1,2,0,30030,3,37
1,4,2,84945,3,40
1,2,2,33380,3,43
1,3,0,40320,3,40
3,2,0,40000,3,39
1,3,1,74272,3,33
1,2,0,43074,3,39
1,4,2,39500,3,39
3,2,1,32150,3,39
1,2,0,51000,3,44
1,2,1,35640,3,33
1,2,1,6332,3,39
3,4,0,30880,3,39
1,6,0,49710,3,44
1,2,0,28290,3,40
1,2,0,25953,3,41
1,4,1,41714,3,40
1,4,1,35850,3,39
1,2,0,111999,3,40
1,2,0,14560,3,34
1,3,0,37000,3,39
1,2,1,55700,3,34
2,2,2,13606,3,34
1,3,0,6987,3,35
3,5,0,11513,3,44
1,2,0,29153,3,39
1,4,0,56710,3,39
1,3,0,106359,3,46
3,2,1,7144,3,34
1,2,0,12500,3,39
3,2,0,90568,3,39
3,2,0,10001,3,37
2,4,0,37800,3,39
3,2,1,58702,3,36
1,3,0,19500,3,40
1,3,2,64100,3,34
1,4,0,113866,3,46
1,3,0,14800,3,43
1,2,0,15918,3,39
1,5,0,22000,3,37
1,3,1,11010,3,39
1,6,1,21080,3,31
1,2,2,11104,3,40
1,3,0,9938,3,40
2,3,0,60102,3,39
1,3,0,4968,3,40
1,4,0,24456,3,35
1,2,4,8281,3,40
1,2,1,23017,3,39
1,4,0,3696,3,39
1,4,1,70300,3,39
2,4,1,114347,3,40
1,3,0,62379,3,34
3,3,0,31281,3,37
1,2,1,47840,3,40
3,4,1,33250,3,43
1,5,1,59624,3,39
1,2,0,85660,3,32
1,2,1,22330,3,43
1,4,0,93243,3,39
1,4,1,194230,3,37
1,2,2,16300,3,43
1,2,0,12600,3,32
1,2,0,53560,3,34
3,2,0,44921,3,43
3,3,2,58841,3,43
1,3,0,1200,3,42
3,4,1,24200,3,32
1,7,1,29734,3,43
1,3,4,33680,3,44
1,5,1,13959,3,34
1,3,0,6300,3,37
1,5,1,5438,3,44
1,3,1,26020,3,39
3,2,0,3245,3,43
1,4,1,32355,4,39
1,4,1,47925,4,42
3,3,1,19320,4,41
1,3,1,43317,4,39
1,2,1,8708,4,39
3,3,2,14300,4,38
1,2,1,87200,4,35
1,3,0,33700,4,35
1,2,0,32038,4,43
1,3,0,20823,4,39
1,2,2,14154,4,40
1,2,7,60691,4,39
1,2,0,28015,4,40
1,2,1,14478,4,40
1,4,0,37440,4,40
1,4,2,35000,4,33
1,2,2,32200,4,39
1,2,2,88600,4,39
3,2,2,29200,4,40
1,4,2,3040,4,39
3,4,0,11096,4,41
1,2,2,56400,4,39
1,2,0,96000,4,43
3,4,0,952,4,37
1,2,2,3972,4,43
1,2,3,62380,4,40
1,2,3,48374,4,40
3,7,2,17502,4,44
1,4,0,56956,4,43
1,2,0,12120,4,40
1,2,0,68920,4,40
3,3,1,88509,4,40
1,2,0,60201,4,39
1,2,0,26600,4,39
1,4,1,37976,4,38
1,2,0,95690,4,40
1,4,1,17200,4,34
1,2,3,33620,4,42
3,5,0,63849,4,40
1,4,3,36000,4,39
1,2,0,79191,4,40
1,4,1,42747,4,39
1,2,2,12000,4,34
1,2,2,48050,4,40
1,2,2,28784,4,42
1,2,1,70026,4,39
1,3,0,40125,4,41
2,2,0,14001,4,39
1,6,0,11501,4,40
3,6,1,42080,4,38
1,2,2,15230,4,39
1,6,0,4745,4,43
1,3,2,54000,4,42
1,6,1,0,4,42
1,2,2,41827,4,40
1,2,2,43924,4,39
1,5,0,26200,4,39
3,2,0,90847,4,39
3,2,1,26073,4,43
1,2,2,54192,4,39
3,2,0,54730,4,43
3,3,0,26802,4,43
1,6,2,20000,4,39
3,2,2,50440,4,39
1,2,2,9396,4,40
1,7,0,54302,4,44
1,5,0,24000,4,43
1,2,1,87400,4,39
1,4,0,52784,4,34
1,4,0,39000,4,39
1,2,0,81088,4,39
2,3,0,2018,4,39
2,3,2,18062,4,39
1,3,0,73946,4,39
3,3,1,6652,4,40
2,3,1,5100,4,40
1,3,3,11424,4,33
1,2,3,79352,4,34
3,4,3,6000,4,34
1,2,2,26881,4,33
1,2,2,41146,4,40
1,3,3,26350,4,35
3,7,5,35937,4,36
2,7,5,26000,4,39
3,2,0,100849,4,36
3,6,0,11100,4,39
2,5,2,26429,4,41
1,3,0,72000,4,39
3,6,2,16602,4,37
1,5,0,28674,4,37
2,3,1,40163,4,33
3,2,5,62308,4,39
3,3,1,2400,4,39
1,6,0,43344,4,39
1,4,0,7500,4,39
3,5,0,16500,4,42
1,2,0,43756,4,40
1,3,1,29120,4,39
1,3,0,189815,4,39
1,2,0,43042,4,42
1,2,2,49432,4,39
1,2,2,105328,4,39
3,2,1,145201,4,40
1,3,1,41000,4,40
1,2,0,14711,4,44
1,2,1,42300,4,43
1,3,0,71832,4,38
1,2,0,31030,4,33
1,3,0,25820,4,43
3,2,0,89932,4,43
1,2,0,57025,4,41
3,2,1,2144,4,40
