TIP,CLANOV,OTROK,DOHODEK,CETRT,IZOBRAZBA
1,4,2,113760,1,40
3,3,1,3864,1,38
1,2,0,134699,1,41
1,3,0,9888,1,36
1,2,0,87500,1,37
1,2,0,45000,1,39
1,3,0,32680,1,43
1,6,0,15000,1,44
1,2,0,49332,1,39
3,2,2,18200,1,44
3,2,2,41126,1,39
3,4,0,53280,1,39
3,2,0,104000,1,39
3,4,0,36136,1,39
1,2,0,36725,1,34
1,2,0,116481,1,40
1,4,2,136110,1,43
2,2,0,53925,1,40
3,5,0,21680,1,39
1,3,0,4200,1,40
3,6,1,29234,1,45
1,3,0,24192,1,36
1,2,2,62960,1,36
1,2,0,21224,1,39
1,4,0,9900,1,39
1,4,1,4260,1,31
3,2,3,36300,2,39
1,2,3,17355,2,41
1,4,0,27145,2,39
1,4,0,21988,2,44
3,4,0,64297,2,45
1,2,0,52620,2,41
1,2,2,37500,2,35
1,3,1,51100,2,43
3,3,2,29924,2,42
1,4,1,73045,2,39
1,3,0,42525,2,39
1,3,0,35367,2,39
1,2,2,56056,2,39
1,2,0,31262,2,39
1,4,2,48554,2,35
1,2,0,1200,2,43
1,3,3,9107,2,40
3,2,1,3690,2,39
1,4,4,15513,2,40
1,3,0,44870,2,34
1,3,5,16825,2,39
3,2,0,27223,2,43
2,3,1,52510,2,43
1,2,0,15082,2,40
1,5,2,23985,2,39
3,3,1,66740,2,43
1,3,0,26382,2,39
1,5,2,46090,2,39
1,2,0,55360,2,40
1,2,2,21904,2,43
1,5,0,15800,2,40
1,2,0,44436,2,39
1,2,2,18070,2,36
1,3,0,21620,2,40
1,3,0,25499,2,36
3,2,3,58058,2,34
3,2,0,4320,2,39
1,6,1,7000,2,39
1,7,1,37025,2,43
2,4,2,44500,2,41
1,2,1,67911,2,42
1,2,0,70458,2,35
1,2,2,34628,2,39
1,5,3,66080,2,44
1,5,0,21824,2,34
1,4,0,36532,2,40
1,5,1,38480,2,43
1,3,0,32199,2,43
1,5,2,18830,2,43
2,4,1,22137,2,43
1,5,0,3000,2,34
3,2,0,58657,2,33
3,5,0,14468,2,39
1,2,0,20270,2,39
1,2,0,26651,2,42
1,5,3,0,2,39
1,4,0,28380,2,39
1,2,0,11004,2,40
1,3,0,54020,2,43
1,2,0,45010,2,40
1,2,1,16009,2,32
3,2,0,17672,2,40
3,4,1,15294,2,39
1,2,2,28544,2,43
1,2,1,20578,2,43
1,3,0,21160,2,40
1,2,2,16092,2,39
3,3,1,71600,2,39
1,4,2,47020,2,39
1,2,1,71216,2,43
1,2,0,46138,2,39
1,2,2,20372,2,40
1,3,2,65300,2,39
1,2,0,33408,2,40
1,4,0,19747,2,34
1,2,0,99996,2,39
1,2,0,80042,2,43
1,5,2,10811,2,39
2,2,2,62900,2,36
3,2,0,54608,2,39
1,3,3,9350,2,39
1,3,1,18301,2,39
1,2,0,45875,2,40
1,4,2,15060,2,34
3,2,1,18300,2,39
1,3,2,32975,2,39
1,4,0,18700,2,41
1,3,0,3240,2,44
1,4,0,21800,2,43
1,2,2,62140,2,35
1,6,0,38895,2,39
1,3,0,30778,2,39
1,5,2,20510,2,39
3,2,1,79500,2,39
1,4,1,40400,2,39
1,2,2,6220,2,36
1,2,0,64633,2,43
1,4,1,23685,2,40
2,2,0,37476,2,40
3,4,0,14700,2,39
3,4,0,13098,2,35
1,2,2,39900,2,31
3,5,0,48029,2,39
1,2,0,63999,3,42
1,3,0,59620,3,34
1,2,0,50600,3,36
1,2,0,12491,3,43
1,3,0,78561,3,34
1,2,0,45390,3,43
3,2,3,24132,3,39
1,3,0,45034,3,43
1,2,0,62660,3,40
1,2,0,35034,3,39
1,2,0,35120,3,43
1,2,0,70600,3,39
1,4,2,28400,3,37
1,3,4,9950,3,39
1,4,1,32475,3,39
1,4,0,27874,3,39
1,2,0,68000,3,36
1,4,0,25405,3,44
1,4,0,39579,3,39
3,3,2,0,3,40
3,2,0,5304,3,40
1,2,0,36150,3,40
2,2,1,40290,3,39
1,3,0,39158,3,36
1,4,0,42901,3,42
3,3,0,85970,3,44
3,3,1,74847,3,40
2,2,1,25459,3,39
1,5,1,137492,3,40
3,2,0,11188,3,39
1,6,3,147548,3,37
1,2,1,79793,3,32
1,2,0,20626,3,39
1,3,0,14000,3,43
1,2,2,40699,3,39
1,2,0,13002,3,31
1,3,2,3041,3,39
3,2,2,29300,3,40
3,5,1,68371,3,43
1,3,3,51978,3,40
1,4,2,30200,3,35
1,4,2,19599,3,43
1,3,2,40569,3,36
1,3,0,45439,3,37
1,4,0,64500,3,40
1,5,0,15800,3,39
1,2,3,23264,3,34
1,2,0,119400,3,36
3,2,0,13999,3,39
3,3,0,20505,3,35
3,5,0,9896,3,41
2,3,3,32600,3,39
1,2,3,22000,3,40
1,2,0,14172,3,45
1,2,0,30500,3,43
1,2,0,8267,3,40
1,4,1,42011,3,39
1,2,1,37250,3,40
3,3,2,46742,3,39
2,4,0,181696,3,40
1,4,0,25305,3,39
1,2,3,60000,3,34
1,3,2,75009,3,39
1,2,1,45988,3,39
1,2,0,15691,3,39
3,2,4,27545,3,35
3,2,0,43103,3,43
1,2,0,3654,3,41
3,2,1,25324,3,43
1,2,0,4878,3,44
1,4,3,45900,3,39
3,3,1,46702,3,43
3,2,1,30086,3,41
1,2,0,23316,3,41
1,2,1,51620,3,39
1,2,0,27199,3,43
3,3,1,60050,3,40
1,2,0,30991,3,40
1,3,0,40510,3,41
1,6,1,6836,3,33
3,5,1,15656,3,39
3,3,2,39910,3,43
1,3,2,34383,3,43
1,2,1,24000,3,39
1,2,0,47550,3,39
1,2,0,112661,3,34
1,2,0,13520,3,39
1,4,3,17104,3,40
1,2,2,18794,3,41
1,4,1,70700,3,45
1,2,0,12000,3,39
3,2,2,20174,3,34
1,2,2,30335,3,37
3,4,1,24000,3,39
1,2,0,23216,3,43
2,2,0,57661,3,40
1,2,0,58071,3,38
3,2,0,33622,3,39
3,3,0,42300,3,40
1,3,0,11240,3,45
1,2,2,20100,3,43
2,2,1,21633,3,43
3,2,0,5720,3,37
1,3,0,33790,3,40
1,3,0,25540,3,39
1,3,0,89532,3,39
1,2,0,40771,3,39
1,3,0,24050,3,34
1,2,0,24524,3,43
2,4,0,31100,3,41
3,4,1,30000,3,38
1,2,0,20850,3,40
1,6,0,65330,3,43
1,2,0,28450,3,40
1,8,0,24400,3,43
1,4,1,74790,3,35
1,3,0,43629,3,39
1,3,2,11959,3,37
1,2,0,32110,3,39
3,4,2,56042,3,35
1,2,0,19315,3,34
1,2,1,31191,3,39
1,2,0,23269,3,39
1,3,0,12796,3,39
1,4,1,24000,3,39
1,4,1,29754,3,39
1,2,0,4620,3,40
3,3,2,24426,3,39
1,5,2,69481,3,44
1,4,0,23001,3,40
3,2,0,69076,3,39
1,3,0,44072,3,39
1,3,2,27500,3,43
1,3,0,6600,3,39
1,2,1,44077,3,39
1,2,0,22831,3,39
3,2,1,76506,3,40
3,6,0,45561,3,39
1,2,2,12016,3,39
1,3,0,3414,3,46
1,4,0,31574,3,39
1,3,1,39414,3,39
1,3,0,16402,3,40
1,4,0,13200,3,38
1,5,1,2388,3,36
1,2,4,10000,3,35
1,3,1,114347,3,34
1,6,0,61800,3,39
1,2,1,85600,3,34
3,3,0,12540,3,34
3,2,3,18000,3,41
1,4,5,194778,3,43
1,4,0,25000,3,33
1,2,0,70000,3,44
1,6,2,26633,3,36
3,4,1,41425,3,32
1,3,2,50137,3,42
1,3,2,55643,3,39
1,3,0,16751,3,39
1,3,1,12942,3,31
1,3,2,6114,3,39
3,2,0,28028,3,39
3,2,1,44700,3,39
3,4,2,65650,3,40
1,2,0,18502,3,40
1,4,4,49220,3,41
1,2,1,9040,4,34
3,4,0,12223,4,41
2,2,0,49558,4,40
3,4,1,59310,4,40
3,4,3,80606,4,38
1,2,4,50000,4,41
1,4,3,55650,4,41
1,2,1,28500,4,43
1,5,3,32390,4,39
1,4,0,41500,4,40
1,4,0,26150,4,36
1,2,0,28877,4,40
1,4,3,17400,4,39
1,3,2,60691,4,40
1,4,0,24710,4,39
3,2,0,156599,4,41
1,2,2,25200,4,39
1,4,0,75500,4,38
1,5,1,11570,4,44
3,3,0,34720,4,45
3,4,2,76694,4,34
1,3,4,72100,4,39
1,3,1,17900,4,40
2,3,1,82605,4,44
1,2,0,43650,4,39
1,5,0,80245,4,36
1,2,0,51372,4,39
1,3,1,51526,4,32
1,3,0,50012,4,40
1,4,2,17826,4,36
1,2,2,44873,4,32
1,5,0,20632,4,39
1,2,1,13000,4,43
3,2,0,98200,4,43
1,2,2,51250,4,40
1,2,2,30440,4,39
1,3,2,40402,4,40
3,2,0,48216,4,39
1,2,1,10392,4,38
1,2,2,22240,4,38
1,2,0,5150,4,39
1,4,3,14756,4,45
1,2,0,62612,4,40
1,2,0,38610,4,40
1,7,0,55500,4,39
1,4,2,17798,4,40
1,5,0,35510,4,37
1,3,2,71600,4,39
3,2,3,36853,4,42
3,4,3,8548,4,40
1,2,0,10440,4,39
1,2,1,58301,4,39
1,2,0,50040,4,39
1,3,1,30700,4,39
1,2,0,42216,4,40
1,2,0,48929,4,39
1,2,0,64509,4,40
1,2,3,34657,4,40
1,2,0,17000,4,40
1,3,0,65430,4,37
1,3,4,15780,4,46
3,2,1,33310,4,39
1,2,2,37500,4,40
1,2,5,101499,4,43
3,2,0,9024,4,40
1,5,0,75577,4,44
3,2,0,9350,4,37
1,2,2,13097,4,39
1,5,0,54730,4,39
1,2,0,30000,4,37
1,3,5,67100,4,39
3,2,0,71930,4,39
1,4,2,56481,4,46
1,4,2,9396,4,41
1,5,1,19796,4,44
1,4,0,50000,4,39
1,5,0,43400,4,43
1,2,1,127000,4,39
1,5,0,17171,4,33
1,3,0,45000,4,35
1,2,1,86611,4,33
3,2,0,10000,4,34
1,6,5,0,4,39
1,2,0,26001,4,39
1,2,0,40544,4,40
1,5,0,9000,4,38
1,3,0,13000,4,38
2,2,1,15632,4,32
1,5,0,28080,4,34
1,3,2,9180,4,36
3,2,0,37600,4,34
2,3,2,10152,4,39
1,2,2,12383,4,37
3,2,2,3024,4,39
1,2,3,26429,4,42
1,3,0,70139,4,40
1,5,0,72000,4,33
3,4,5,5000,4,33
3,2,2,57204,4,43
1,2,0,18240,4,40
1,2,0,54024,4,45
2,5,1,90500,4,31
3,3,0,27326,4,33
1,5,2,8400,4,44
1,2,2,24209,4,36
1,2,2,10768,4,35
1,5,0,57798,4,32
1,5,2,2432,4,43
1,4,0,228727,4,39
1,4,0,18076,4,43
1,2,1,61032,4,44
1,7,0,42020,4,39
1,6,0,143699,4,40
1,2,0,97066,4,39
1,3,1,35427,4,37
3,3,0,74613,4,39
